symbol,name
LLOYDSENGG.NS,LLOYDS ENGINEERING WORKS LIMITED
GMMPFAUDLR.NS,GMM Pfaudler Limited
SURYAROSNI.NS,Surya Roshni Limited
VSTIND.NS,VST Industries Limited
PTC.NS,PTC India Limited
JKPAPER.NS,JK Paper Limited
SANSERA.NS,Sansera Engineering Limited
CHOICEIN.NS,Choice International Limited
AURIONPRO.NS,Aurionpro Solutions Limited
PAISALO.NS,Paisalo Digital Limited
ITDC.NS,India Tourism Development Corporation Limited
HNDFDS.NS,Hindustan Foods Limited
PARADEEP.NS,Paradeep Phosphates Limited
KESORAMIND.NS,Kesoram Industries Limited
HCC.NS,Hindustan Construction Company Limited
ORCHPHARMA.NS,Orchid Pharma Limited
JAMNAAUTO.NS,Jamna Auto Industries Limited
ICRA.NS,ICRA Limited
RSYSTEMS.NS,R Systems International Limited
PRUDENT.NS,Prudent Corporate Advisory Services Limited
MTARTECH.NS,Mtar Technologies Limited
UTKARSHBNK.NS,Utkarsh Small Finance Bank Limited
RAIN.NS,Rain Industries Limited
DYNAMATECH.NS,Dynamatic Technologies Limited
JAICORPLTD.NS,Jai Corp Limited
RBA.NS,Restaurant Brands Asia Limited
GATEWAY.NS,Gateway Distriparks Limited
PURVA.NS,Puravankara Limited
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
NAZARA.NS,Nazara Technologies Limited
RALLIS.NS,Rallis India Limited
VRLLOG.NS,VRL Logistics Limited
GABRIEL.NS,Gabriel India Limited
DODLA.NS,Dodla Dairy Limited
JKIL.NS,J.Kumar Infraprojects Limited
ROLEXRINGS.NS,Rolex Rings Limited
WABAG.NS,VA Tech Wabag Limited
PRICOLLTD.NS,Pricol Limited
HCG.NS,Healthcare Global Enterprises Limited
AGI.NS,AGI Greenpac Limited
DBCORP.NS,D.B.Corp Limited
FUSION.NS,Fusion Micro Finance Limited
DHANUKA.NS,Dhanuka Agritech Limited
MASFIN.NS,MAS Financial Services Limited
SULA.NS,Sula Vineyards Limited
TDPOWERSYS.NS,TD Power Systems Limited
GALLANTT.NS,Gallantt Ispat Limited
JAYNECOIND.NS,Jayaswal Neco Industries Limited
GULFOILLUB.NS,Gulf Oil Lubricants India Limited
SAMHI.NS,Samhi Hotels Limited
TEAMLEASE.NS,Teamlease Services Limited
KIRLPNU.NS,Kirloskar Pneumatic Company Limited
EPIGRAL.NS,Epigral Limited
TIIL.NS,Technocraft Industries (India) Limited
GOPAL.NS,Gopal Snacks Limited
JTEKTINDIA.NS,Jtekt India Limited
HEIDELBERG.NS,HeidelbergCement India Limited
SUNDARMHLD.NS,Sundaram Finance Holdings Limited
RTNPOWER.NS,RattanIndia Power Limited
STLTECH.NS,Sterlite Technologies Limited
JPASSOCIAT.NS,Jaiprakash Associates Limited
PATELENG.NS,Patel Engineering Limited
ASHOKA.NS,Ashoka Buildcon Limited
SINDHUTRAD.NS,Sindhu Trade Links Limited
PGEL.NS,PG Electroplast Limited
NFL.NS,National Fertilizers Limited
ENTERO.NS,Entero Healthcare Solutions Limited
JSFB.NS,Jana Small Finance Bank Limited
GOKEX.NS,Gokaldas Exports Limited
BANCOINDIA.NS,Banco Products (I) Limited
VMART.NS,V-Mart Retail Limited
SHANTIGEAR.NS,Shanthi Gears Limited
GHCL.NS,GHCL Limited
SUDARSCHEM.NS,Sudarshan Chemical Industries Limited
WELENT.NS,Welspun Enterprises Limited
FEDFINA.NS,Fedbank Financial Services Limited
NOCIL.NS,NOCIL Limited
TARC.NS,TARC Limited
KKCL.NS,Kewal Kiran Clothing Limited
ORIENTELEC.NS,Orient Electric Limited
BOROLTD.NS,Borosil Limited
KIRLOSIND.NS,Kirloskar Industries Limited
BALMLAWRIE.NS,Balmer Lawrie & Company Limited
FCL.NS,Fineotex Chemical Limited
GRWRHITECH.NS,Garware Hi-Tech Films Limited
SHARDAMOTR.NS,Sharda Motor Industries Limited
PARKHOTELS.NS,Apeejay Surrendra Park Hotels Limited
MAXESTATES.NS,Max Estates Limited
TI.NS,Tilaknagar Industries Limited
AMIORG.NS,Ami Organics Limited
ORIENTCEM.NS,Orient Cement Limited
SHILPAMED.NS,Shilpa Medicare Limited
AARTIDRUGS.NS,Aarti Drugs Limited
LGBBROSLTD.NS,LG Balakrishnan & Bros Limited
AARTIPHARM.NS,Aarti Pharmalabs Limited
TCIEXP.NS,TCI Express Limited
WSTCSTPAPR.NS,West Coast Paper Mills Limited
ADVENZYMES.NS,Advanced Enzyme Technologies Limited
PRIVISCL.NS,Privi Speciality Chemicals Limited
GREENPANEL.NS,Greenpanel Industries Limited
VENUSPIPES.NS,Venus Pipes & Tubes Limited
BBOX.NS,Black Box Limited
IIFLSEC.NS,IIFL Securities Limited
PILANIINVS.NS,Pilani Investment and Industries Corporation Limited
ROSSARI.NS,Rossari Biotech Limited
KSL.NS,Kalyani Steels Limited
DCBBANK.NS,DCB Bank Limited
IMAGICAA.NS,Imagicaaworld Entertainment Limited
BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited
DCAL.NS,Dishman Carbogen Amcis Limited
HARSHA.NS,Harsha Engineers International Limited
BBL.NS,Bharat Bijlee Limited
YATHARTH.NS,Yatharth Hospital & Trauma Care Services Limited
ORISSAMINE.NS,The Orissa Minerals Development Company Limited
THANGAMAYL.NS,Thangamayil Jewellery Limited
ZAGGLE.NS,Zaggle Prepaid Ocean Services Limited
BHARATRAS.NS,Bharat Rasayan Limited
KOLTEPATIL.NS,Kolte - Patil Developers Limited
KSCL.NS,Kaveri Seed Company Limited
MEDIASSIST.NS,Medi Assist Healthcare Services Limited
INOXGREEN.NS,Inox Green Energy Services Limited
HATHWAY.NS,Hathway Cable & Datacom Limited
SSWL.NS,Steel Strips Wheels Limited
UNICHEMLAB.NS,Unichem Laboratories Limited
CIGNITITEC.NS,Cigniti Technologies Limited
IMFA.NS,Indian Metals & Ferro Alloys Limited
ASHAPURMIN.NS,Ashapura Minechem Limited
HGS.NS,Hinduja Global Solutions Limited
MUTHOOTMF.NS,Muthoot Microfin Limited
SUBROS.NS,Subros Limited
RAMKY.NS,Ramky Infrastructure Limited
SUNFLAG.NS,Sunflag Iron And Steel Company Limited
CARERATING.NS,CARE Ratings Limited
GENSOL.NS,Gensol Engineering Limited
SKIPPER.NS,Skipper Limited
LAOPALA.NS,La Opala RG Limited
LUMAXTECH.NS,Lumax Auto Technologies Limited
DCXINDIA.NS,DCX Systems Limited
BOMDYEING.NS,Bombay Dyeing & Mfg Company Limited
HIKAL.NS,Hikal Limited
JISLJALEQS.NS,Jain Irrigation Systems Limited
CUPID.NS,Cupid Limited
AVALON.NS,Avalon Technologies Limited
LUXIND.NS,Lux Industries Limited
NUCLEUS.NS,Nucleus Software Exports Limited
TASTYBITE.NS,Tasty Bite Eatables Limited
SOTL.NS,Savita Oil Technologies Limited
ARVSMART.NS,Arvind SmartSpaces Limited
SANDHAR.NS,Sandhar Technologies Limited
SALASAR.NS,Salasar Techno Engineering Limited
NEOGEN.NS,Neogen Chemicals Limited
DATAMATICS.NS,Datamatics Global Services Limited
JTLIND.NS,JTL INDUSTRIES LIMITED
ANUP.NS,The Anup Engineering Limited
HERITGFOOD.NS,Heritage Foods Limited
THYROCARE.NS,Thyrocare Technologies Limited
VADILALIND.NS,Vadilal Industries Limited
NAVNETEDUL.NS,Navneet Education Limited
DISHTV.NS,Dish TV India Limited
KDDL.NS,KDDL Limited
KALAMANDIR.NS,Sai Silks (Kalamandir) Limited
LANDMARK.NS,Landmark Cars Limited
INDOCO.NS,Indoco Remedies Limited
BAJAJCON.NS,Bajaj Consumer Care Limited
TVSSRICHAK.NS,TVS Srichakra Limited
CARTRADE.NS,Cartrade Tech Limited
SBCL.NS,Shivalik Bimetal Controls Limited
FIEMIND.NS,Fiem Industries Limited
PRAKASH.NS,Prakash Industries Limited
DELTACORP.NS,Delta Corp Limited
RAJRATAN.NS,Rajratan Global Wire Limited
IDEAFORGE.NS,Ideaforge Technology Limited
MAHLOG.NS,Mahindra Logistics Limited
PFOCUS.NS,Prime Focus Limited
GREAVESCOT.NS,Greaves Cotton Limited
DOLLAR.NS,Dollar Industries Limited
UFLEX.NS,UFLEX Limited
UNITECH.NS,Unitech Limited
BFUTILITIE.NS,BF Utilities Limited
SHARDACROP.NS,Sharda Cropchem Limited
BANARISUG.NS,Bannari Amman Sugars Limited
SEQUENT.NS,Sequent Scientific Limited
GREENPLY.NS,Greenply Industries Limited
MAITHANALL.NS,Maithan Alloys Limited
SHK.NS,S H Kelkar and Company Limited
SUNCLAY.NS,Sundaram Clayton Limited
GUFICBIO.NS,Gufic Biosciences Limited
BLSE.NS,BLS E-Services Limited
DIACABS.NS,Diamond Power Infrastructure Limited
ESAFSFB.NS,ESAF Small Finance Bank Limited
VSTTILLERS.NS,V.S.T Tillers Tractors Limited
HLEGLAS.NS,HLE Glascoat Limited
BCG.NS,Brightcom Group Limited
GOODLUCK.NS,Goodluck India Limited
SWARAJENG.NS,Swaraj Engines Limited
SEAMECLTD.NS,Seamec Limited
SMLISUZU.NS,SML Isuzu Limited
ASHIANA.NS,Ashiana Housing Limited
DALMIASUG.NS,Dalmia Bharat Sugar and Industries Limited
HINDWAREAP.NS,Hindware Home Innovation Limited
SAGCEM.NS,Sagar Cements Limited
SAKSOFT.NS,Saksoft Limited
APOLLO.NS,Apollo Micro Systems Limited
SUPRIYA.NS,Supriya Lifescience Limited
AUTOAXLES.NS,Automotive Axles Limited
STYLAMIND.NS,Stylam Industries Limited
FLAIR.NS,Flair Writing Industries Limited
VINDHYATEL.NS,Vindhya Telelinks Limited
CARYSIL.NS,CARYSIL LIMITED
THEJO.NS,Thejo Engineering Limited
MPSLTD.NS,MPS Limited
MARATHON.NS,Marathon Nextgen Realty Limited
ISMTLTD.NS,ISMT Limited
FILATEX.NS,Filatex India Limited
NRBBEARING.NS,NRB Bearing Limited
JCHAC.NS,Johnson Controls - Hitachi Air Conditioning India Limited
MOLDTKPAC.NS,Mold-Tek Packaging Limited
DREAMFOLKS.NS,Dreamfolks Services Limited
GMRP&UI.NS,GMR Power and Urban Infra Limited
SHALBY.NS,Shalby Limited
INNOVACAP.NS,Innova Captab Limited
PFS.NS,PTC India Financial Services Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
HMAAGRO.NS,HMA Agro Industries Limited
NILKAMAL.NS,Nilkamal Limited
RPGLIFE.NS,RPG Life Sciences Limited
TATVA.NS,Tatva Chintan Pharma Chem Limited
STYRENIX.NS,Styrenix Performance Materials Limited
QUICKHEAL.NS,Quick Heal Technologies Limited
ACCELYA.NS,Accelya Solutions India Limited
REPCOHOME.NS,Repco Home Finance Limited
PCJEWELLER.NS,PC Jeweller Limited
APOLLOPIPE.NS,Apollo Pipes Limited
GANECOS.NS,Ganesha Ecosphere Limited
PARAGMILK.NS,Parag Milk Foods Limited
BAJEL.NS,Bajel Projects Limited
PSPPROJECT.NS,PSP Projects Limited
GIPCL.NS,Gujarat Industries Power Company Limited
XPROINDIA.NS,Xpro India Limited
PITTIENG.NS,Pitti Engineering Limited
SHAKTIPUMP.NS,Shakti Pumps (India) Limited
TIDEWATER.NS,Tide Water Oil Company (India) Limited
SHAILY.NS,Shaily Engineering Plastics Limited
EVEREADY.NS,Eveready Industries India Limited
CONFIPET.NS,Confidence Petroleum India Limited
POLYPLEX.NS,Polyplex Corporation Limited
TAJGVK.NS,Taj GVK Hotels & Resorts Limited
TIRUMALCHM.NS,Thirumalai Chemicals Limited
SPECTRUM.NS,Spectrum Electrical Industries Limited
PARAS.NS,Paras Defence and Space Technologies Limited
EXICOM.NS,Exicom Tele-Systems Limited
PGIL.NS,Pearl Global Industries Limited
MANORAMA.NS,Manorama Industries Limited
SOMANYCERA.NS,Somany Ceramics Limited
KINGFA.NS,Kingfa Science & Technology (India) Limited
FINOPB.NS,Fino Payments Bank Limited
UNIPARTS.NS,Uniparts India Limited
INDOSTAR.NS,IndoStar Capital Finance Limited
DIVGIITTS.NS,Divgi Torqtransfer Systems Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
SEPC.NS,SEPC Limited
INDIAGLYCO.NS,India Glycols Limited
IPL.NS,India Pesticides Limited
GENESYS.NS,Genesys International Corporation Limited
SANGHIIND.NS,Sanghi Industries Limited
BSHSL.NS,Bombay Super Hybrid Seeds Limited
SATIN.NS,Satin Creditcare Network Limited
AXISCADES.NS,AXISCADES Technologies Limited
ARTEMISMED.NS,Artemis Medicare Services Limited
SASKEN.NS,Sasken Technologies Limited
EIHAHOTELS.NS,EIH Associated Hotels Limited
DHANI.NS,Dhani Services Limited
PRECWIRE.NS,Precision Wires India Limited
VIDHIING.NS,Vidhi Specialty Food Ingredients Limited
APCOTEXIND.NS,Apcotex Industries Limited
HUHTAMAKI.NS,Huhtamaki India Limited
LUMAXIND.NS,Lumax Industries Limited
GOCLCORP.NS,GOCL Corporation Limited
WENDT.NS,Wendt (India) Limited
DEN.NS,Den Networks Limited
YATRA.NS,Yatra Online Limited
HONDAPOWER.NS,Honda India Power Products Limited
KCP.NS,KCP Limited
EMSLIMITED.NS,EMS Limited
JAGRAN.NS,Jagran Prakashan Limited
SANGAMIND.NS,Sangam (India) Limited
BEPL.NS,Bhansali Engineering Polymers Limited
CAPACITE.NS,Capacit'e Infraprojects Limited
NPST.NS,Network People Services Technologies Limited
SUVEN.NS,Suven Life Sciences Limited
MANINDS.NS,Man Industries (India) Limited
DIAMONDYD.NS,Prataap Snacks Limited
CENTUM.NS,Centum Electronics Limited
VENKEYS.NS,Venky's (India) Limited
IKIO.NS,IKIO Lighting Limited
TCNSBRANDS.NS,TCNS Clothing Co. Limited
OPTIEMUS.NS,Optiemus Infracom Limited
MOREPENLAB.NS,Morepen Laboratories Limited
MUKANDLTD.NS,Mukand Limited
UDS.NS,Updater Services Limited
ALEMBICLTD.NS,Alembic Limited
RAMASTEEL.NS,Rama Steel Tubes Limited
IOLCP.NS,IOL Chemicals and Pharmaceuticals Limited
MBAPL.NS,Madhya Bharat Agro Products Limited
MMFL.NS,MM Forgings Limited
VAKRANGEE.NS,Vakrangee Limited
TARSONS.NS,Tarsons Products Limited
ASTEC.NS,Astec LifeSciences Limited
JSLL.NS,Jeena Sikho Lifecare Limited
VISHNU.NS,Vishnu Chemicals Limited
TTKHLTCARE.NS,TTK Healthcare Limited
MTNL.NS,Mahanagar Telephone Nigam Limited
RPTECH.NS,Rashi Peripherals Limited
RPSGVENT.NS,RPSG VENTURES LIMITED
ORIENTHOT.NS,Oriental Hotels Limited
GTLINFRA.NS,GTL Infrastructure Limited
WEBELSOLAR.NS,Websol Energy System Limited
JASH.NS,Jash Engineering Limited
UGROCAP.NS,Ugro Capital Limited
SDBL.NS,Som Distilleries & Breweries Limited
HPL.NS,HPL Electric & Power Limited
TCPLPACK.NS,TCPL Packaging Limited
ADFFOODS.NS,ADF Foods Limited
HMT.NS,HMT Limited
MOL.NS,Meghmani Organics Limited
MUFIN.NS,Mufin Green Finance Limited
THEMISMED.NS,Themis Medicare Limited
PANAMAPET.NS,Panama Petrochem Limited
MANGLMCEM.NS,Mangalam Cement Limited
SIGNPOST.NS,Signpost India Limited
HITECH.NS,Hi-Tech Pipes Limited
MAYURUNIQ.NS,Mayur Uniquoters Ltd
SIYSIL.NS,Siyaram Silk Mills Limited
JINDALPOLY.NS,Jindal Poly Films Limited
KRSNAA.NS,Krsnaa Diagnostics Limited
DEEPINDS.NS,Deep Industries Limited
PNBGILTS.NS,PNB Gilts Limited
HIL.NS,HIL Limited
RICOAUTO.NS,Rico Auto Industries Limited
BFINVEST.NS,BF Investment Limited
GANDHAR.NS,Gandhar Oil Refinery (India) Limited
IFGLEXPOR.NS,IFGL Refractories Limited
BARBEQUE.NS,Barbeque Nation Hospitality Limited
ANDHRAPAP.NS,ANDHRA PAPER LIMITED
IRMENERGY.NS,IRM Energy Limited
RIIL.NS,Reliance Industrial Infrastructure Limited
SHRIRAMPPS.NS,Shriram Properties Limited
GLOBUSSPR.NS,Globus Spirits Limited
DREDGECORP.NS,Dredging Corporation of India Limited
RUPA.NS,Rupa & Company Limited
SJS.NS,S.J.S. Enterprises Limited
PARACABLES.NS,Paramount Communications Limited
EXPLEOSOL.NS,Expleo Solutions Limited
PRECAM.NS,Precision Camshafts Limited
BHARATWIRE.NS,Bharat Wire Ropes Limited
GTPL.NS,GTPL Hathway Limited
VPRPL.NS,Vishnu Prakash R Punglia Limited
ADORWELD.NS,Ador Welding Limited
DPABHUSHAN.NS,D. P. Abhushan Limited
FOSECOIND.NS,Foseco India Limited
SCILAL.NS,Shipping Corporation of India Land and Assets Limited
SESHAPAPER.NS,Seshasayee Paper and Boards Limited
JINDRILL.NS,Jindal Drilling And Industries Limited
YASHO.NS,Yasho Industries Limited
GREENPOWER.NS,Orient Green Power Company Limited
NITINSPIN.NS,Nitin Spinners Limited
GOLDIAM.NS,Goldiam International Limited
PIXTRANS.NS,Pix Transmissions Limited
SIGACHI.NS,Sigachi Industries Limited
ARMANFIN.NS,Arman Financial Services Limited
MONARCH.NS,Monarch Networth Capital Limited
AMRUTANJAN.NS,Amrutanjan Health Care Limited
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.
PENIND.NS,Pennar Industries Limited
GEPIL.NS,GE Power India Limited
PVSL.NS,Popular Vehicles and Services Limited
JUBLINDS.NS,Jubilant Industries Limited
63MOONS.NS,63 moons technologies limited
CANTABIL.NS,Cantabil Retail India Limited
RAMCOIND.NS,Ramco Industries Limited
JYOTISTRUC.NS,Jyoti Structures Limited
VSSL.NS,Vardhman Special Steels Limited
HERCULES.NS,Hercules Hoists Limited
NSIL.NS,Nalwa Sons Investments Limited
HLVLTD.NS,HLV LIMITED
SURYODAY.NS,Suryoday Small Finance Bank Limited
TNPL.NS,Tamil Nadu Newsprint & Papers Limited
SUBEXLTD.NS,Subex Limited
RISHABH.NS,Rishabh Instruments Limited
SERVOTECH.NS,Servotech Power Systems Limited
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited
ATFL.NS,Agro Tech Foods Limited
OMAXE.NS,Omaxe Limited
EVERESTIND.NS,Everest Industries Limited
PREMEXPLN.NS,Premier Explosives Limited
GNA.NS,GNA Axles Limited
GOKULAGRO.NS,Gokul Agro Resources Limited
TALBROAUTO.NS,Talbros Automotive Components Limited
DCMSRIND.NS,DCM Shriram Industries Limited
NELCO.NS,NELCO Limited
KICL.NS,Kalyani Investment Company Limited
MOTISONS.NS,Motisons Jewellers Limited
5PAISA.NS,5Paisa Capital Limited
KIRIINDUS.NS,Kiri Industries Limited
CAPITALSFB.NS,Capital Small Finance Bank Limited
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
AEROFLEX.NS,Aeroflex Industries Limited
SIRCA.NS,Sirca Paints India Limited
SHANKARA.NS,Shankara Building Products Limited
FAIRCHEMOR.NS,Fairchem Organics Limited
BLKASHYAP.NS,B. L. Kashyap and Sons Limited
TFCILTD.NS,Tourism Finance Corporation of India Limited
SADHNANIQ.NS,Sadhana Nitrochem Limited
INDNIPPON.NS,India Nippon Electricals Limited
GVKPIL.NS,GVK Power & Infrastructure Limited
RANEHOLDIN.NS,Rane Holdings Limited
GEOJITFSL.NS,Geojit Financial Services Limited
DCW.NS,DCW Limited
SBGLP.NS,Suratwwala Business Group Limited
BCLIND.NS,Bcl Industries Limited
SMSPHARMA.NS,SMS Pharmaceuticals Limited
DPSCLTD.NS,DPSC Limited
CAMLINFINE.NS,Camlin Fine Sciences Limited
CONTROLPR.NS,Control Print Limited
REFEX.NS,Refex Industries Limited
KRISHANA.NS,Krishana Phoschem Limited
EKC.NS,Everest Kanto Cylinder Limited
WHEELS.NS,Wheels India Limited
JITFINFRA.NS,JITF Infralogistics Limited
V2RETAIL.NS,V2 Retail Limited
SALZERELEC.NS,Salzer Electronics Limited
UNIVCABLES.NS,Universal Cables Limited
SPAL.NS,S. P. Apparels Limited
EPACK.NS,EPACK Durable Limited
SWELECTES.NS,Swelect Energy Systems Limited
GPTHEALTH.NS,GPT Healthcare Limited
HITECHGEAR.NS,The Hi-Tech Gears Limited
INSECTICID.NS,Insecticides (India) Limited
PENINLAND.NS,Peninsula Land Limited
SHREDIGCEM.NS,Shree Digvijay Cement Co.Ltd
SPIC.NS,Southern Petrochemicals Industries Corporation  Limited
NIITLTD.NS,NIIT Limited
BIGBLOC.NS,Bigbloc Construction Limited
ORIANA.NS,Oriana Power Limited
SPCENET.NS,Spacenet Enterprises India Limited
SHALPAINTS.NS,Shalimar Paints Limited
KAMDHENU.NS,Kamdhenu Limited
STOVEKRAFT.NS,Stove Kraft Limited
RKSWAMY.NS,R K Swamy Limited
NAVKARCORP.NS,Navkar Corporation Limited
BUTTERFLY.NS,Butterfly Gandhimathi Appliances Limited
DHAMPURSUG.NS,Dhampur Sugar Mills Limited
NDTV.NS,New Delhi Television Limited
ARIHANTSUP.NS,Arihant Superstructures Limited
VASCONEQ.NS,Vascon Engineers Limited
KUANTUM.NS,Kuantum Papers Limited
APTECHT.NS,Aptech Limited
INDIANHUME.NS,Indian Hume Pipe Company Limited
ROSSELLIND.NS,Rossell India Limited
AHL.NS,Abans Holdings Limited
SOLARA.NS,Solara Active Pharma Sciences Limited
SUMMITSEC.NS,Summit Securities Limited
ALICON.NS,Alicon Castalloy Limited
KSOLVES.NS,Ksolves India Limited
IGPL.NS,IG Petrochemicals Limited
STEELCAS.NS,Steelcast Limited
POKARNA.NS,Pokarna Limited
ATL.NS,Allcargo Terminals Limited
ATULAUTO.NS,Atul Auto Limited
GANESHBE.NS,Ganesh Benzoplast Limited
COSMOFIRST.NS,COSMO FIRST LIMITED
AWHCL.NS,Antony Waste Handling Cell Limited
DWARKESH.NS,Dwarikesh Sugar Industries Limited
HARIOMPIPE.NS,Hariom Pipe Industries Limited
SMCGLOBAL.NS,SMC Global Securities Limited
MADRASFERT.NS,Madras Fertilizers Limited
DSSL.NS,Dynacons Systems & Solutions Limited
STEELXIND.NS,STEEL EXCHANGE INDIA LIMITED
MONTECARLO.NS,Monte Carlo Fashions Limited
E2E.NS,E2E Networks Limited
VERTOZ.NS,Vertoz Advertising Limited
GIRIRAJ.NS,Giriraj Civil Developers Limited
NGLFINE.NS,NGL Fine-Chem Limited
IGARASHI.NS,Igarashi Motors India Limited
JAYBARMARU.NS,Jay Bharat Maruti Limited
AVTNPL.NS,AVT Natural Products Limited
SKYGOLD.NS,Sky Gold Limited
TVTODAY.NS,TV Today Network Limited
XCHANGING.NS,Xchanging Solutions Limited
ANDHRSUGAR.NS,The Andhra Sugars Limited
ACLGATI.NS,Allcargo Gati Limited
KOPRAN.NS,Kopran Limited
ENIL.NS,Entertainment Network (India) Limited
VERANDA.NS,Veranda Learning Solutions Limited
MVGJL.NS,Manoj Vaibhav Gems N Jewellers Limited
OMINFRAL.NS,OM INFRA LIMITED
ZOTA.NS,Zota Health Care LImited
SNOWMAN.NS,Snowman Logistics Limited
RAJRILTD.NS,Raj Rayon Industries Limited
PUNJABCHEM.NS,Punjab Chemicals & Crop Protection Limited
KITEX.NS,Kitex Garments Limited
TEXINFRA.NS,Texmaco Infrastructure & Holdings Limited
IMPAL.NS,India Motor Parts and Accessories Limited
HIMATSEIDE.NS,Himatsingka Seide Limited
DOLATALGO.NS,Dolat Algotech Limited
MANGCHEFER.NS,Mangalore Chemicals & Fertilizers Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
REPRO.NS,Repro India Limited
DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited
UTTAMSUGAR.NS,Uttam Sugar Mills Limited
CENTRUM.NS,Centrum Capital Limited
HESTERBIO.NS,Hester Biosciences Limited
BETA.NS,Beta Drugs Limited
MARINE.NS,Marine Electricals (India) Limited
BLISSGVS.NS,Bliss GVS Pharma Limited
MSPL.NS,MSP Steel & Power Limited
LINCOLN.NS,Lincoln Pharmaceuticals Limited
SAURASHCEM.NS,Saurashtra Cement Limited
MATRIMONY.NS,Matrimony.Com Limited
HARDWYN.NS,Hardwyn India Limited
GMBREW.NS,GM Breweries Limited
SURAJEST.NS,Suraj Estate Developers Limited
SICALLOG.NS,Sical Logistics Limited
TREL.NS,Transindia Real Estate Limited
PAKKA.NS,PAKKA LIMITED
HERANBA.NS,Heranba Industries Limited
RAMRAT.NS,Ram Ratna Wires Limited
DVL.NS,Dhunseri Ventures Limited
NACLIND.NS,NACL Industries Limited
RML.NS,Rane (Madras) Limited
NELCAST.NS,Nelcast Limited
KOKUYOCMLN.NS,Kokuyo Camlin Limited
ALLSEC.NS,Allsec Technologies Limited
MACPOWER.NS,Macpower CNC Machines Limited
INNOVANA.NS,Innovana Thinklabs Limited
ROTO.NS,Roto Pumps Limited
STERTOOLS.NS,Sterling Tools Limited
MUKKA.NS,Mukka Proteins Limited
TIL.NS,TIL Limited
CSLFINANCE.NS,CSL Finance Limited
GICHSGFIN.NS,GIC Housing Finance Limited
SATIA.NS,Satia Industries Limited
MUFTI.NS,Credo Brands Marketing Limited
CREST.NS,Crest Ventures Limited
AVADHSUGAR.NS,Avadh Sugar & Energy Limited
WINDLAS.NS,Windlas Biotech Limited
KRYSTAL.NS,Krystal Integrated Services Limited
YUKEN.NS,Yuken India Limited
ASIANENE.NS,Asian Energy Services Limited
SPORTKING.NS,Sportking India Limited
KOTYARK.NS,Kotyark Industries Limited
CLSEL.NS,Chaman Lal Setia Exports Limited
KAMOPAINTS.NS,Kamdhenu Ventures Limited
HUBTOWN.NS,Hubtown Limited
VALIANTORG.NS,Valiant Organics Limited
INDOTECH.NS,Indo Tech Transformers Limited
COFFEEDAY.NS,Coffee Day Enterprises Limited
SYNCOMF.NS,Syncom Formulations (India) Limited
NDRAUTO.NS,Ndr Auto Components Limited
DHANBANK.NS,Dhanlaxmi Bank Limited
ONEPOINT.NS,One Point One Solutions Limited
HIRECT.NS,Hind Rectifiers Limited
KABRAEXTRU.NS,Kabra Extrusion Technik Limited
REMUS.NS,Remus Pharmaceuticals Limited
INDORAMA.NS,Indo Rama Synthetics (India) Limited
GULPOLY.NS,Gulshan Polyols Limited
HEUBACHIND.NS,Heubach Colorants India Limited
OAL.NS,Oriental Aromatics Limited
CREATIVE.NS,Creative Newtech Limited
ONWARDTEC.NS,Onward Technologies Limited
URJA.NS,Urja Global Limited
PVP.NS,PVP Ventures Limited
ROHLTD.NS,Royal Orchid Hotels Limited
BLAL.NS,BEML Land Assets Limited
SATINDLTD.NS,Sat Industries Limited
VIMTALABS.NS,Vimta Labs Limited
ZUARIIND.NS,ZUARI INDUSTRIES LIMITED
GSLSU.NS,Global Surfaces Limited
NAHARSPING.NS,Nahar Spinning Mills Limited
MANALIPETC.NS,Manali Petrochemicals Limited
SASTASUNDR.NS,Sastasundar Ventures Limited
DLINKINDIA.NS,D-Link (India) Limited
RGL.NS,Renaissance Global Limited
FOCUS.NS,Focus Lighting and Fixtures Limited
GANDHITUBE.NS,Gandhi Special Tubes Limited
KELLTONTEC.NS,Kellton Tech Solutions Limited
PLATIND.NS,Platinum Industries Limited
KERNEX.NS,Kernex Microsystems (India) Limited
RAMCOSYS.NS,Ramco Systems Limited
WALCHANNAG.NS,Walchandnagar Industries Limited
CHEMFAB.NS,Chemfab Alkalis Limited
UNIENTER.NS,Uniphos Enterprises Limited
SARVESHWAR.NS,Sarveshwar Foods Limited
BODALCHEM.NS,Bodal Chemicals Limited
SEMAC.NS,SEMAC CONSULTANTS LIMITED
VISAKAIND.NS,Visaka Industries Limited
LIKHITHA.NS,Likhitha Infrastructure Limited
WEL.NS,Wonder Electricals Limited
ASAL.NS,Automotive Stampings and Assemblies Limited
AMNPLST.NS,Amines & Plasticizers Limited
GPTINFRA.NS,GPT Infraprojects Limited
NINSYS.NS,NINtec Systems Limited
SHIVALIK.NS,Shivalik Rasayan Limited
